trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'e': 0.6277426434059801, 'a': 0.9}",20,0,-51.2308504645682,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
150,False,"{'e': 0.6257840096045911, 'a': 0.9}",30,0,-144.1994189024646,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
151,False,"{'e': 0.6238314869801442, 'a': 0.9}",25,0,-129.55202628931505,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
152,False,"{'e': 0.6218850564650201, 'a': 0.9}",25,1,-11.144247581333989,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 0}",1
153,False,"{'e': 0.6199446990510927, 'a': 0.9}",25,7,-60.77152941302406,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
154,False,"{'e': 0.6180103957895441, 'a': 0.9}",20,0,-49.188304936891704,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
155,False,"{'e': 0.6160821277906783, 'a': 0.9}",30,0,-16.235747138589208,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
156,False,"{'e': 0.6141598762237378, 'a': 0.9}",30,13,-77.98630740002628,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
157,False,"{'e': 0.6122436223167195, 'a': 0.9}",20,0,-42.88131630840367,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
158,False,"{'e': 0.610333347356191, 'a': 0.9}",30,0,-79.79065699809212,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
159,False,"{'e': 0.6084290326871084, 'a': 0.9}",30,9,-54.550229231214246,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
160,False,"{'e': 0.6065306597126334, 'a': 0.9}",20,0,-36.04774519619295,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
161,False,"{'e': 0.6046382098939524, 'a': 0.9}",25,0,-86.38380681961682,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",1
162,False,"{'e': 0.6027516647500953, 'a': 0.9}",20,0,-8.817768636293348,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
163,False,"{'e': 0.6008710058577543, 'a': 0.9}",25,0,-62.686793960247144,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
164,False,"{'e': 0.5989962148511054, 'a': 0.9}",25,0,-67.89848902907826,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
165,False,"{'e': 0.5971272734216274, 'a': 0.9}",25,14,-10.600206939448839,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
166,False,"{'e': 0.5952641633179244, 'a': 0.9}",35,0,-83.78217820116059,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
167,False,"{'e': 0.5934068663455473, 'a': 0.9}",20,10,-28.672601928632545,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
168,False,"{'e': 0.5915553643668151, 'a': 0.9}",25,8,-48.53403692601955,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
169,False,"{'e': 0.5897096393006394, 'a': 0.9}",20,13,7.481333624206317,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.5878696731223465, 'a': 0.9}",30,12,3.154187585889378,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
171,False,"{'e': 0.5860354478635021, 'a': 0.9}",20,0,3.666160905974536,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
172,False,"{'e': 0.5842069456117358, 'a': 0.9}",20,0,-25.087087466846558,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
173,False,"{'e': 0.5823841485105655, 'a': 0.9}",20,2,-60.11625049486028,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
